id,keyword,location,text,target,text_clean
15,ablaze,,Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is… https://t.co/gIwZCH533D,1,images showing the havoc caused by the cameroon military as they torched houses in oku the shameless military is
16,ablaze,,No cows today but our local factory is sadly still ablaze #REDJanuary2020 https://t.co/CMyuKzrcKz,1,no cows today but our local factory is sadly still ablaze redjanuary
17,ablaze,,Rengoku sets my heart ablaze😔❤️🔥 P.s. I missed this style of coloring I do so here it is c: #鬼滅の刃 https://t.co/YrUF9g68s0,0,rengoku sets my heart ablaze p s i missed this style of coloring i do so here it is c
18,ablaze,Worldwide,paulzizkaphoto: “Rundle Ablaze” Wishing you all a good evening... https://t.co/d0NlME1HQz https://t.co/hlVlT6qiIp,0,paulzizkaphoto rundle ablaze wishing you all a good evening
19,ablaze,,French cameroun set houses ablaze in Ndu and roasted two young boys in their homes in #targeted killings in a #GenocideInSou…,1,french cameroun set houses ablaze in ndu and roasted two young boys in their homes in targeted killings in a genocideinsou
20,ablaze,,Cameroon's #BIR soldiers on the 05/01/2020 invaded the #SouthernCameroons Village of Kimar - So setting ablaze a total of…,1,cameroon s bir soldiers on the invaded the southerncameroons village of kimar so setting ablaze a total of
21,ablaze,,As fires ablaze throughout the land/as the prophosized apocalypse comes to fruition/not a building standing/as we all come st…,1,as fires ablaze throughout the land as the prophosized apocalypse comes to fruition not a building standing as we all come st
22,ablaze,Italy,"#ThankfulTuesday Isaiah 43:2 When you pass through the waters, I will be with you; and when you pass through the r… https://t.co/jEp3L1oU36",0,thankfultuesday isaiah when you pass through the waters i will be with you and when you pass through the r
23,ablaze,"` ˗ˏˋ i'm⠀waiting⠀for⠀you⠀to⠀pour⠀my⠀𝘀𝗶𝗻𝘀⠀onto⠀me⠀;⠀call⠀me⠀your⠀𝘭𝘰𝘷𝘦𝘳⠀whispering⠀hymns⠀to⠀my⠀ear⠀,⠀crucify⠀me⠀in⠀claims⠀of⠀praising⠀me .","⠀⠀When you walk through the fire, ⠀⠀you will not be scorched, and the ⠀⠀flames will not set you ablaze. ──── product…",0,when you walk through the fire you will not be scorched and the flames will not set you ablaze product
24,ablaze,Okielahoma,Originally they were intended to be fired at boarders or the opposing ship's crew from gunners in the ships's riggi… https://t.co/z5vPwuyBCL,1,originally they were intended to be fired at boarders or the opposing ship s crew from gunners in the ships s riggi
25,ablaze,,Warm greetings to all on the occasion of #Lohri. As winter passes by may everyone's woes and troubles be set ablaze in t…,0,warm greetings to all on the occasion of lohri as winter passes by may everyone s woes and troubles be set ablaze in t
26,ablaze,,"Another arson in Njikom,Boyo,NWR. The ambazombies yesterday 13/1/2020 set ablaze the Council building. Which country in the wo…",1,another arson in njikom boyo nwr the ambazombies yesterday set ablaze the council building which country in the wo
27,ablaze,Havana 3am,"Another public market in #Haiti mysteriously set ablaze. The independent merchants, who are overwhelmingly women, become…",1,another public market in haiti mysteriously set ablaze the independent merchants who are overwhelmingly women become
28,ablaze,,that is kind true sadly,0,that is kind true sadly
29,ablaze,,I swear that jam will set the world ablaze,0,i swear that jam will set the world ablaze
30,ablaze,,"Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze. #I…",1,marivan kurdistan province monday jan th protesters set the propaganda banner of qassemsoleimani ablaze i
31,ablaze,"Washington, DC","Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze… https://t.co/IVGCYJZlmK",1,marivan kurdistan province monday jan th protesters set the propaganda banner of qassemsoleimani ablaze
32,ablaze,India,How can you turn a blind eye to the icident of setting ablaze more than 50 houses of H… https://t.co/UD84oQxg9K,1,how can you turn a blind eye to the icident of setting ablaze more than houses of h
33,ablaze,"Salta, Argentina","This love is so completely crazy. You've been fucking with my dreams, ripped me like your torn up jeans. I don't ev… https://t.co/GCVYW5eZkb",0,this love is so completely crazy you ve been fucking with my dreams ripped me like your torn up jeans i don t ev
34,accident,Wherever socks go in the dryer,Terms in A Demon Burning Dark: The Ruined: People who cannot use magic or interact with it without some harm or ac… https://t.co/ZEDawOfuu4,0,terms in a demon burning dark the ruined people who cannot use magic or interact with it without some harm or ac
35,accident,Kuala Lumpur,"📷 Heartfelt appreciation to Prime Minister YAB Tun Dr. wife, YABhg. Tun Dr. Siti Hasmah Mohd Ali fo… https://t.co/YOwUp1BYUP",0,heartfelt appreciation to prime minister yab tun dr wife yabhg tun dr siti hasmah mohd ali fo
36,accident,,"#WATCH Former CM Akhilesh Yadav who went to meet injured of Kannauj accident, at a hospital in Chhibramau asks Emergency Med…",1,watch former cm akhilesh yadav who went to meet injured of kannauj accident at a hospital in chhibramau asks emergency med
37,accident,"Sydney, New South Wales",❤️❤️❤️ he gave us everything... He had a horrible foot infection once so wore one thong… https://t.co/mA9sFl6Shw,0,he gave us everything he had a horrible foot infection once so wore one thong
38,accident,Nigeria,"😁yeah! His new swag is on point 100%, since the accident! Like this is a totally transformed Bob…",0,yeah his new swag is on point since the accident like this is a totally transformed bob
39,accident,"Davanagere, India ","This is cool and all these days I have been doing ""git push origin CURRENT_BRANCH_NAME"". You know that… https://t.co/mr0YAGEWqj",0,this is cool and all these days i have been doing git push origin current branch name you know that
40,accident,"Lyndhurst, OH",#Preorder #newrelease today! 12 witnesses connected to or investigating #THENUTCRACKERCONSPIRACY have died either in a…,1,preorder newrelease today witnesses connected to or investigating thenutcrackerconspiracy have died either in a
41,accident,"Covina, Ca",my back and neck are still fucked up from the accident 😡😡😭😭,0,my back and neck are still fucked up from the accident
42,accident,"Colorado, Brighton",RT! Prince Harry just confirmed that his mother’s (Princess Diana) death was not an accident! https://t.co/1ADe3uZ3eR,1,rt prince harry just confirmed that his mother s princess diana death was not an accident
43,accident,,Note to Democrats: It’s not a Muslim ban. Islam is not a race. Soleimani was a terrorist &amp; was exterminated not assas…,0,note to democrats it s not a muslim ban islam is not a race soleimani was a terrorist amp was exterminated not assas
44,accident,"North Carolina, USA",Juwan Johnson/Oregon is one big dude. Looks like a tight end stuck in the receiver group by accident.,0,juwan johnson oregon is one big dude looks like a tight end stuck in the receiver group by accident
45,accident,kurger bing,More appearances of the man with the upside-down face. A New Year’s Eve party at an Air Force base in 1943 where a man…,0,more appearances of the man with the upside down face a new year s eve party at an air force base in where a man
46,accident,"Faridabad, India","The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Kavu in Thum…",1,the speeding car rammed into a group of people who were returning after attending a temple festival of ayyappan kavu in thum
47,accident,60,My friend (an army) just lost her father in an accident and her mom right now is still unconscious. Please pray for her mo…,1,my friend an army just lost her father in an accident and her mom right now is still unconscious please pray for her mo
48,accident,ngovhela Mahunguni,MLINDO THE VOCALIST IN ANOTHER CAR ACCIDENT https://t.co/BXR9rEgAk6,1,mlindo the vocalist in another car accident
49,accident,,"“There are no greater treasures than the highest human qualities such as compassion, courage and hope. Not even tragic accide…",0,there are no greater treasures than the highest human qualities such as compassion courage and hope not even tragic accide
50,accident,Germany,Please help our friends in - they have had a non fault accident that's resulted in their vehicle being writte…,0,please help our friends in they have had a non fault accident that s resulted in their vehicle being writte
51,accident,"South Beach, FL",When you hurt your younger sibling by “accident” https://t.co/DAMTEoQtZU,0,when you hurt your younger sibling by accident
52,accident,"London, United Kingdom",David Cameron’s decision to hold a referendum expressed in the medium of a road traffic accident. https://t.co/XATYHFtXoa,1,david cameron s decision to hold a referendum expressed in the medium of a road traffic accident
53,accident,"Phoenix, AZ 85017",An auto accident injury can set a process in motion that can get complicated. Find out how long it takes to settle… https://t.co/GQp5tv03dF,1,an auto accident injury can set a process in motion that can get complicated find out how long it takes to settle
54,accident,"England, UK ",no one has the right to call a baby an accident. jd himself called it a blessing. he used the loveliest word to describe what…,0,no one has the right to call a baby an accident jd himself called it a blessing he used the loveliest word to describe what
55,accident,"Melbourne, Australia",I actually posted this by accident to twitter but have decided this can stay,0,i actually posted this by accident to twitter but have decided this can stay
56,accident,"Pearland, TX",Question: let’s say you are happily married and your husband dies in a tragic accident. You are deveststed but this pussy not…,0,question let s say you are happily married and your husband dies in a tragic accident you are deveststed but this pussy not
57,accident,Africa,The Kampala Metropolitan East has in custody two suspects who allegedly strangled to death a passenger… https://t.co/9v77Vm51vw,1,the kampala metropolitan east has in custody two suspects who allegedly strangled to death a passenger
58,accident,"California, USA","In completely available public information , the fires were mostly started by humans on purpose or on accident with th…",0,in completely available public information the fires were mostly started by humans on purpose or on accident with th
59,accident,,During my PhD there was a colleague who went out of her way to bully and cause work discomfort for me. I… https://t.co/G3hivXZo8T,0,during my phd there was a colleague who went out of her way to bully and cause work discomfort for me i
60,accident,"Kerala, India","The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Ka… https://t.co/e3bBlaVDDA",1,the speeding car rammed into a group of people who were returning after attending a temple festival of ayyappan ka
61,accident,"Staffordshire,England","6yr old Bella needs a new home due to an incident that was an accident, she can live with older kids and in the right ho…",0,yr old bella needs a new home due to an incident that was an accident she can live with older kids and in the right ho
62,accident,,"👀Look at this shit,😠she need her little ass whooped before she hit somebody by accident. #lecheminduroi #bransoncognac #starzge…",0,look at this shit she need her little ass whooped before she hit somebody by accident lecheminduroi bransoncognac starzge
63,accident,"Port Harcourt, Nigeria",You're not an accident on the earth. You're God's divinely crafted masterpiece. He designed you with a destiny in v… https://t.co/KfC7Tpwuj6,0,you re not an accident on the earth you re god s divinely crafted masterpiece he designed you with a destiny in v
64,accident,,Iran Says That They Shot Down Ukraine International Flight 172 By Accident. Here is an Picture of that Aircraft in… https://t.co/COdnYq77uZ,1,iran says that they shot down ukraine international flight by accident here is an picture of that aircraft in
65,accident,Everywhere,Saw this truck with the container almost falling off this morning. Reported…,1,saw this truck with the container almost falling off this morning reported
66,accident,"Ann Arbor, MI",Judge less smile more. It isn’t the oldest profession by accident lol,0,judge less smile more it isn t the oldest profession by accident lol
67,aftershock,Global,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/SF2wBVd5me,1,puerto rico hit by another magnitude aftershock kyma
68,aftershock,"Puerto Rico, USA",3.6 aftershock at 4:05 am. I was asleep and the movement of my bed woke me up. Not so scary but I wish they weren't… https://t.co/LA2mwCLXhf,1,aftershock at am i was asleep and the movement of my bed woke me up not so scary but i wish they weren t
69,aftershock,In the mind of haters.,"Good Night my friends, As per USGS, the new 5.9 quake in this morning caused the 7-day aftershock forecast to change.…",1,good night my friends as per usgs the new quake in this morning caused the day aftershock forecast to change
70,aftershock,Czech Republic,Yea it wasnt that long she killed me in like 6 or 7 seconds but not sure would have to… https://t.co/pexyxYJoFM,0,yea it wasnt that long she killed me in like or seconds but not sure would have to
71,aftershock,USA,Honored to have an essay in #AfterShock Marking the 50th anniversary of Alvin Toffler’s Future Shock Compendium of essays in t…,0,honored to have an essay in aftershock marking the th anniversary of alvin toffler s future shock compendium of essays in t
72,aftershock,,TICKETS ON SALE!!!!!!!!!! - Aftershock https://t.co/kQHMzbgmvk #nowplaying #k4hdradio,0,tickets on sale aftershock nowplaying k hdradio
73,aftershock,"Bay Area, CA",Come with us to Aftershock!,0,come with us to aftershock
74,aftershock,"Great Southwest, U.S.A.",o_O ! I think I felt your aftershock,0,o o i think i felt your aftershock
75,aftershock,"Katowice, Poland",A quick comparison of the ongoing 2020 M6.4 Puerto Rico earthquake sequence and the 2003 M6.5 Central California sequenc…,1,a quick comparison of the ongoing m puerto rico earthquake sequence and the m central california sequenc
76,aftershock,,"Why are Puerto Ricans refusing to go home? Aside from the 5.4 aftershock just now, the ground in southwest Puerto Rico has…",1,why are puerto ricans refusing to go home aside from the aftershock just now the ground in southwest puerto rico has
77,aftershock,Toronto,2010 - Inception. The Social Network. Easy A. Black Swan. Toy Story 3. The Kids are All Right. Aftershock.,0,inception the social network easy a black swan toy story the kids are all right aftershock
78,aftershock,Texas,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/rrTNTMA8NR,1,puerto rico hit by another magnitude aftershock kyma
79,aftershock,são paulo -sp,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/wW3CdsvDV2,1,puerto rico hit by another magnitude aftershock kyma
80,aftershock,"  Philippines ,From America",A other Hard hit https://t.co/x3e2mf6DKo,0,a other hard hit
81,aftershock,Islamabad,"Musharaf verdict was just mild aftershock of extension, one should not worry what comes after extention.",0,musharaf verdict was just mild aftershock of extension one should not worry what comes after extention
82,aftershock,"Flatbush, Brooklyn",Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/vRAdkSZaLn,1,puerto rico hit by another magnitude aftershock kyma
83,aftershock,"Surabaya, Indonesia",Kumera yellow Aftershock #PH19FOSSIL featured in bankbtn Good Living magazine Photography Stylist shino… https://t.co/V9LJ65ttzR,0,kumera yellow aftershock ph fossil featured in bankbtn good living magazine photography stylist shino
84,aftershock,,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/MMxXzwBpaF,1,puerto rico hit by another magnitude aftershock kyma
85,aftershock,NYC,Please pray for #PuertoRico!!!!! https://t.co/uWqP2yNohW,0,please pray for puertorico
86,aftershock,ethers,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/lRTLlbB9TV,1,puerto rico hit by another magnitude aftershock kyma
87,aftershock,"Ковров, Россия",И снова о кризисе демографии (Yakov_Z) https://t.co/BlgYuNumDG,0,yakov z
88,aftershock,"Planet Eyal, Shandral System",Darkake(7 yeek possessor) was killed by possession aftershock on Ritches Tunnels 2. https://t.co/AZoiZicsDe,1,darkake yeek possessor was killed by possession aftershock on ritches tunnels
89,aftershock,,Check out my latest video... SUPERZERO VOL. 1 - CLOSER LOOK https://t.co/T36KGXJdvY A closer look at SUPERZERO VOL. 1 by Am…,0,check out my latest video superzero vol closer look a closer look at superzero vol by am
90,aftershock,,Might be a small aftershock. I didn't feel anything,0,might be a small aftershock i didn t feel anything
91,aftershock,"Brooklyn, NY","Stay informed, stay engaged with whats going on in #PuertoRico after the #earthquake The USGS’ 30-Day aftershock s… https://t.co/bYIBfpLHYg",0,stay informed stay engaged with whats going on in puertorico after the earthquake the usgs day aftershock s
92,aftershock,,This isnt good. I feel for the people of Puerto Rico https://t.co/gZC7TYroxS,0,this isnt good i feel for the people of puerto rico
93,aftershock,"Melbourne, Victoria","Aftershock Vapor 15 Pro Review – Aussie, Aussie, Aussie https://t.co/pWNq3VAr2r #PowerUpAU",0,aftershock vapor pro review aussie aussie aussie powerupau
94,aftershock,,Puerto Rico Worker explains Earthquake aftershock. Pleading to go viral https://t.co/hhfjQNLEt8 via,0,puerto rico worker explains earthquake aftershock pleading to go viral via
95,aftershock,Piscataway land // DC,this is an unfathomable number. I lived through a large earthquake and we slept under the table for one terrible night…,0,this is an unfathomable number i lived through a large earthquake and we slept under the table for one terrible night
96,aftershock,DEPRESSED VIBES,nah I need calm down 💀 https://t.co/eOKphShN5R,0,nah i need calm down
97,aftershock,,thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,0,thinking about how some spat blood at me during marilyn manson s set at aftershock
98,aftershock,,"If two quakes have about the same magnitude, you cannot say one is the other's preshock or aftershock. Only when one is obv…",0,if two quakes have about the same magnitude you cannot say one is the other s preshock or aftershock only when one is obv
99,aftershock,,"An M4+~M5+ aftershock happens within 15 days after an M5+~M6+ main shock. If you can predict it, then you can say it is an…",1,an m m aftershock happens within days after an m m main shock if you can predict it then you can say it is an
100,aftershock,,I don't think Silivri M4.8 is an aftershock of the Silivri M5.7 a few months ago. 😀 Quake professors always say such nonsen…,0,i don t think silivri m is an aftershock of the silivri m a few months ago quake professors always say such nonsen
101,aftershock,"Bum Fuck, California",I think it’s an aftershock from ’s lyrical beat down. Brent never recovered.,0,i think it s an aftershock from s lyrical beat down brent never recovered
102,aftershock,,Apex is all about separating from Monarch. They’re “separation. Well from my theory on how MechaGod… https://t.co/aBzDKqocPv,0,apex is all about separating from monarch they re separation well from my theory on how mechagod
103,aftershock,"fresno, ca",thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,0,thinking about how some spat blood at me during marilyn manson s set at aftershock
104,aftershock,,Or sending my mate Simon to the bar and asking for a Guiness but ending up with a Carlsberg Export and a Mint After…,0,or sending my mate simon to the bar and asking for a guiness but ending up with a carlsberg export and a mint after
105,aftershock,,#USGS #earthquake experts are in #PuertoRico installing temporary seismometers to help track seismic events including a Jan. 7 ma…,0,usgs earthquake experts are in puertorico installing temporary seismometers to help track seismic events including a jan ma
106,aftershock,"Wilmington, NC- USA",Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/P9Th3vpTak,1,puerto rico hit by another magnitude aftershock kyma
107,aftershock,"Dream big ,NYC , FL\LA✈️✨💼😎","Over the weekend, Puerto Rico was struck by a 5.9 aftershock, causing more damage to homes and schools and leaving thou…",1,over the weekend puerto rico was struck by a aftershock causing more damage to homes and schools and leaving thou
108,aftershock,DEPRESSED VIBES,How could you leave when I gave you my all 💔,0,how could you leave when i gave you my all
109,aftershock,,"For the full experience, start with this one, 1st in the series. Food was running low. To save the young, the governor…",0,for the full experience start with this one st in the series food was running low to save the young the governor
110,aftershock,NYC,The magnitude 5.9 quake in #PuertoRico this morning caused our 7-day aftershock forecast to change. We now estimate an increased…,1,the magnitude quake in puertorico this morning caused our day aftershock forecast to change we now estimate an increased
111,aftershock,10.28.33N  / 066.57.79W,We continue to update our 30-day aftershock forecast scenarios for #PuertoRico. Forecasts are posted in both English https://t.co…,0,we continue to update our day aftershock forecast scenarios for puertorico forecasts are posted in both english
112,aftershock,"Texas, USA",Another 6.0 aftershock has hit Puerto Rico after last night. People cannot go home if they even have one. They have no po…,1,another aftershock has hit puerto rico after last night people cannot go home if they even have one they have no po
113,aftershock,"St Augustine, FL",Aftershock comics. We prefer working in partnership with our creators to build out that team from the ground up.,0,aftershock comics we prefer working in partnership with our creators to build out that team from the ground up
114,aftershock,RVA✈️FLA,Did the other earthquake/aftershock mess up the power again?!,0,did the other earthquake aftershock mess up the power again
115,aftershock,PA,Aftershock forecast for Puerto Rico,0,aftershock forecast for puerto rico
116,airplane%20accident,"California, USA",Like Iran shooting an airplane was an accident,1,like iran shooting an airplane was an accident
117,airplane%20accident,,Bing Bong Airplane Accident Remix,0,bing bong airplane accident remix
118,airplane%20accident,Inside my head,Morgan is surprised to see Shaun back at work already and offers her condolences on his dad. Shaun says the airplan… https://t.co/SXwRBa7hj5,0,morgan is surprised to see shaun back at work already and offers her condolences on his dad shaun says the airplan
119,airplane%20accident,Australia,"That’s a load of rubbish, there was never an imminent threat, Jesus Christ!!!Iran sho… https://t.co/C815DfZF7C",0,that s a load of rubbish there was never an imminent threat jesus christ iran sho
120,airplane%20accident,"Greenwich, CT","Actually, blocking the internet was just an accident. You know, just like when Iran shot down the Ukrainian airplane.",1,actually blocking the internet was just an accident you know just like when iran shot down the ukrainian airplane
121,airplane%20accident,"Michigan, USA",Conclusion 8 on previous page is incorrect IMHO. “The witness observations of a streak of light we… https://t.co/tz4Xv7uXCw,0,conclusion on previous page is incorrect imho the witness observations of a streak of light we
122,airplane%20accident,Iran,"The celebrities in Iran that are very sadly about our compatriots that killed with downing UK airplane,not only di… https://t.co/CtjVwIcH2v",0,the celebrities in iran that are very sadly about our compatriots that killed with downing uk airplane not only di
123,airplane%20accident,"Virginia, USA",So Iranian radars cannot tell the difference between an incoming missile and an out going Ukrainian airplane? What… https://t.co/hoeEJEUIHE,1,so iranian radars cannot tell the difference between an incoming missile and an out going ukrainian airplane what
124,airplane%20accident,West coast True north  i stan juggalos,"Had a look at your timeline, i see you hate my coun… https://t.co/30cMQ9gsPj",0,had a look at your timeline i see you hate my coun
125,airplane%20accident,,"MILITARY MISTAKES, 1988 US-MILITARY SHOT DOWN AN IRANIAN PASSENGER AIRPLANE! 2020 IRANIAN MILITARY SHOT DOWN AN UKR… https://t.co/177gbnqiHt",1,military mistakes us military shot down an iranian passenger airplane iranian military shot down an ukr
126,airplane%20accident,,Secret anti-spying services in the Middle East should be on high alert. The demolition of the commercial airplane U…,1,secret anti spying services in the middle east should be on high alert the demolition of the commercial airplane u
127,airplane%20accident,هرجا که دلت باشد,"My friend i live here , believe me... Its our basic rights that know what happened… https://t.co/49nbXHuTfP",0,my friend i live here believe me its our basic rights that know what happened
128,airplane%20accident,,Secret anti-spying services in the Middle East should be on high alert. The demolition of the commercial airpl… https://t.co/9pZViFDPkv,1,secret anti spying services in the middle east should be on high alert the demolition of the commercial airpl
129,airplane%20accident,,How is it that Iran fired between 12 and 20 surface to surface missiles...…..then FIRED A SURFACE TO AIR MISSILE AT… https://t.co/mpkttFCAFB,0,how is it that iran fired between and surface to surface missiles then fired a surface to air missile at
130,airplane%20accident,,"Basically, you killed the general, put the whole country into a confusing status, they shoot a civ… https://t.co/P1lKrqhP1Y",0,basically you killed the general put the whole country into a confusing status they shoot a civ
131,airplane%20accident,GOV of Georgia♥️ Janny Cares,"No, I was referring to the shooting down of the airplane. I really do…",0,no i was referring to the shooting down of the airplane i really do
132,airplane%20accident,"Saskatchewan, Canada","No, I was referring to the shooting down of the airplane. I… https://t.co/xKVqRdtjhR",0,no i was referring to the shooting down of the airplane i
133,airplane%20accident,Canada,And anyone who believes that incident was an accident is an idiot. An airplane at approx 3000 fee…,0,and anyone who believes that incident was an accident is an idiot an airplane at approx fee
134,airplane%20accident,,And anyone who believes that incident was an accident is an idiot. An airplane at approx 3000… https://t.co/axT3omjmE1,0,and anyone who believes that incident was an accident is an idiot an airplane at approx
135,airplane%20accident,"Port Charlotte, FL","Iran did not blow up an airplane by accident, they intended for it to be shot down! The accident is that it was a civilian aircraft!",1,iran did not blow up an airplane by accident they intended for it to be shot down the accident is that it was a civilian aircraft
136,airplane%20accident,artemis,But... The airplane accident...,1,but the airplane accident
137,airplane%20accident,,"Mr M u hold p.Trump accountable for the airplane accident.we r very sad too,but pls don’t tweet abo… https://t.co/cqsMfVTLMW",0,mr m u hold p trump accountable for the airplane accident we r very sad too but pls don t tweet abo
138,airplane%20accident,Nigeria,"Just dial 112 toll-free from your phone in the event that you wish to report fire, flood, theft, armed robbery, kidnap,…",0,just dial toll free from your phone in the event that you wish to report fire flood theft armed robbery kidnap
139,airplane%20accident,"Ilawe-Ekiti, Nigeria","Just dial 112 toll-free from your phone in the event that you wish to report fire, flood, theft, armed robbery, k… https://t.co/1e2jgI6C8Q",0,just dial toll free from your phone in the event that you wish to report fire flood theft armed robbery k
140,airplane%20accident,Florida,So Iran can shoot down a commercial airplane and claim it was an accident. Does ANYONE really believe that?!!! 😡😡😡😡,1,so iran can shoot down a commercial airplane and claim it was an accident does anyone really believe that
141,airplane%20accident,Calgary AB,You may be unaware that CND is currently in mourning. 57 Canadians were downed in an airplane by accident in Iran. Flag…,1,you may be unaware that cnd is currently in mourning canadians were downed in an airplane by accident in iran flag
142,airplane%20accident,"Saskatchewan, Canada","Sorry for your loss, Iran should never have shot the airplane out of the sky. ‘accident’ they say",0,sorry for your loss iran should never have shot the airplane out of the sky accident they say
143,airplane%20accident,"Toronto, Ontario","It wasn't, Iranians knew when takeoff was happening &amp; they knew the airplane manufacturer was American.… https://t.co/9JNbfB0zWH",0,it wasn t iranians knew when takeoff was happening amp they knew the airplane manufacturer was american
144,airplane%20accident,NYC,Mass anti-government protests erupt in Iran after leaders admit to shooting down airliner. Still cannot believe w… https://t.co/dweXwdLBGn,0,mass anti government protests erupt in iran after leaders admit to shooting down airliner still cannot believe w
145,airplane%20accident,New England,I read the whole thread. He’s blaming Trump for Iran shooting down an ai… https://t.co/evL7sdNw0Z,0,i read the whole thread he s blaming trump for iran shooting down an ai
146,airplane%20accident,Ontario,airplane accident answers. The US designated the Iranian government as terrorists and ha… https://t.co/7a2OgPYNiQ,0,airplane accident answers the us designated the iranian government as terrorists and ha
147,airplane%20accident,State of Louisiana-great food,"Hey, got some swamp land for sale. You are either naive or just plain stupid! Which is it? Iran downing t… https://t.co/fu3cjJf1q8",0,hey got some swamp land for sale you are either naive or just plain stupid which is it iran downing t
148,airplane%20accident,"Sachse, Texas","Perhaps prodded by others, Zelensky decides Ukraine has nothing to lose by piling onto Iran. Never seen so many op… https://t.co/bvZj33dZEp",0,perhaps prodded by others zelensky decides ukraine has nothing to lose by piling onto iran never seen so many op
149,airplane%20accident,,"As a Canadian, I am very concerned. The airplane that was shot down by accident had 67 Canadians - many of Iranian…",0,as a canadian i am very concerned the airplane that was shot down by accident had canadians many of iranian
150,airplane%20accident,Waldo,Shooting an airplane down *by accident* is bullshit. Just like *accidental shootings* of firearms. Especially since… https://t.co/xKEYVGXFiQ,0,shooting an airplane down by accident is bullshit just like accidental shootings of firearms especially since
151,airplane%20accident,United States,"Odd, how the Iranians ACCIDENTALLY blew up the airplane after take off. Was someone just playing with… https://t.co/Y2Yx1gZ6hQ",0,odd how the iranians accidentally blew up the airplane after take off was someone just playing with
